,0
1759,maximum
1760,average
1761,quality
1762,expected
1763,much
1764,better
1765,many
1766,positive
1767,feedback
1768,wouldnt
1769,come
1770,back
1771,eat
1772,would
1773,nicer
1774,smaller
1775,bar
1776,restaurant
1777,care
1778,costumer
1779,good
1780,food
1781,traditional
1782,catalan
1783,great
1784,service
1785,fast
1786,recommend
1787,visit
1788,try
1789,catalan
1790,cream
1791,tomato
1792,bread
1793,tapa
1794,spent
1795,long
1796,weekend
1797,hotel
1798,nearby
1799,seven
1800,year
1801,old
1802,daughter
1803,ended
1804,breakfast
1805,every
1806,day
1807,great
1808,simple
1809,breakfast
1810,menu
1811,fantastically
1812,reasonable
1813,price
1814,lunch
1815,one
1816,day
1817,u
1818,breakfast
1819,stole
1820,show
1821,always
1822,busy
1823,prepared
1824,wait
1825,bit
1826,worth
1827,u
1828,unbelievable
1829,dont
1830,get
1831,reservation
1832,new
1833,especially
1834,bin
1835,barcelona
1836,dont
1837,present
1838,full
1839,wont
1840,let
1841,sit
1842,absence
1843,customer
1844,already
1845,arranged
1846,business
1847,meeting
1848,place
1849,otherwise
1850,would
1851,spare
1852,money
1853,third
1854,visit
1855,cerveceria
1856,catalana
1857,always
1858,pleasure
1859,great
1860,local
1861,food
1862,always
1863,fresh
1864,always
1865,tasty
1866,time
1867,weve
1868,tried
1869,something
1870,else
1871,time
1872,weve
1873,set
1874,bar
1875,great
1876,closer
1877,service
1878,experience
1879,next
1880,time
1881,going
1882,restaurant
1883,ever
1884,since
1885,arrived
1886,barcelona
1887,year
1888,ago
1889,recommended
1890,many
1891,colleague
1892,friend
1893,however
1894,day
1895,terrible
1896,experience
1897,changed
1898,whole
1899,opinion
1900,place
1901,sat
1902,outside
1903,bag
1904,containing
1905,belonging
1906,stolen
1907,eating
1908,returned
1909,holiday
1910,belonging
1911,bag
1912,including
1913,house
1914,key
1915,id
1916,credit
1917,card
1918,cash
1919,etc
1920,thing
1921,phone
1922,first
1923,staff
1924,polite
1925,concerned
1926,stressed
1927,going
1928,pay
1929,meal
1930,front
1931,house
1932,lady
1933,told
1934,worry
1935,house
1936,block
1937,card
1938,time
1939,phone
1940,different
1941,bank
1942,started
1943,raining
1944,moved
1945,inside
1946,told
1947,older
1948,gentleman
1949,would
1950,pay
1951,bill
1952,leaving
1953,despite
1954,woman
1955,told
1956,well
1957,fact
1958,nothing
1959,pay
1960,told
1961,man
1962,lady
1963,said
1964,house
1965,lied
1966,said
1967,never
1968,said
1969,doesnt
1970,authority
1971,complete
1972,lie
1973,nevertheless
1974,tried
1975,everything
1976,could
1977,pay
1978,another
1979,form
1980,attempt
1981,failed
1982,thing
1983,could
1984,offer
1985,leave
1986,detail
1987,live
1988,nie
1989,number
1990,everything
1991,could
1992,come
1993,back
1994,next
1995,day
1996,pay
1997,still
1998,refused
1999,felt
2000,treated
2001,like
2002,thief
2003,man
2004,extremely
2005,rude
2006,told
2007,hablas
2008,en
2009,ingles
2010,te
2011,voy
2012,hablar
2013,en
2014,ingles
2015,que
2016,hablas
2017,en
2018,español
2019,went
2020,tell
2021,way
2022,could
2023,leave
2024,left
2025,phone
2026,thing
2027,left
2028,house
2029,key
2030,money
2031,nothing
2032,young
2033,female
2034,completely
2035,shocked
2036,request
2037,told
2038,refuse
2039,eventually
2040,completely
2041,humiliated
2042,gentleman
2043,middle
2044,restaurant
2045,treated
2046,like
2047,thief
2048,robbed
2049,premise
2050,man
2051,agreed
2052,take
2053,detail
2054,returned
2055,following
2056,morning
2057,id
2058,bank
2059,paid
2060,back
2061,didnt
2062,receive
2063,sort
2064,apology
2065,even
2066,thank
2067,never
2068,return
2069,restaurant
2070,disgusted
2071,way
2072,treated
2073,would
2074,like
2075,get
2076,robbed
2077,enjoying
2078,meal
2079,treated
2080,like
2081,thief
2082,told
2083,must
2084,leave
2085,pay
2086,go
2087,ahead
2088,eat
2089,definitely
2090,good
2091,cuality
2092,tapa
2093,everything
2094,fresh
2095,tasty
2096,however
2097,opinion
2098,bit
2099,overrated
2100,visited
2101,place
2102,first
2103,time
2104,year
2105,ago
2106,plate
2107,much
2108,smaller
2109,price
2110,much
2111,higher
2112,bit
2113,dissapointed
2114,second
2115,visit
2116,came
2117,along
2118,sick
2119,dog
2120,barely
2121,walk
2122,le
2123,summer
2124,stopped
2125,walk
2126,minute
2127,second
2128,stop
2129,telling
2130,rudely
2131,move
2132,way
2133,bothering
2134,understand
2135,need
2136,walk
2137,fast
2138,without
2139,obstacle
2140,everything
2141,laying
2142,annoying
2143,nobody
2144,unless
2145,cure
2146,anything
2147,else
2148,apart
2149,waiting
2150,necessary
2151,rude
2152,sick
2153,dog
2154,move
2155,need
2156,gon
2157,na
2158,eat
2159,ever
2160,extensive
2161,selection
2162,executed
2163,good
2164,drink
2165,get
2166,crowded
2167,hey
2168,thats
2169,part
2170,experience
2171,tried
2172,getting
2173,dinner
2174,night
2175,finally
2176,charm
2177,hostess
2178,friendly
2179,time
2180,tapa
2181,great
2182,sangria
2183,barcelona
2184,day
2185,ate
2186,amazing
2187,selection
2188,tapa
2189,excellent
2190,service
2191,wine
2192,selection
2193,top
2194,tapa
2195,restaurant
2196,waiter
2197,great
2198,giving
2199,taste
2200,picked
2201,bottle
2202,great
2203,tapa
2204,get
2205,busy
2206,day
2207,plan
2208,make
2209,sit
2210,bar
2211,good
2212,view
2213,dish
2214,location
2215,friendly
2216,exactly
2217,expecting
2218,local
2219,tapa
2220,place
2221,ok
2222,wait
2223,get
2224,table
2225,dont
2226,give
2227,many
2228,tapa
2229,go
2230,crazy
2231,order
2232,handle
2233,recommendation
2234,bacalau
2235,boquerones
2236,en
2237,vinagre
2238,andaluze
2239,navajasprice
2240,couple
2241,totally
2242,spent
2243,tapa
2244,glass
2245,wine
2246,bottle
2247,full
2248,satisfied
2249,well
2250,located
2251,one
2252,best
2253,elegant
2254,part
2255,central
2256,bcn
2257,popular
2258,hangout
2259,local
2260,tourist
2261,serving
2262,nice
2263,good
2264,quality
2265,atmosphere
2266,modern
2267,upmarket
2268,designed
2269,nice
2270,combination
2271,colour
2272,place
2273,quite
2274,big
2275,get
2276,noisy
2277,busy
2278,although
2279,twice
2280,without
2281,reservation
2282,recommended
2283,make
2284,reservation
2285,lucky
2286,like
2287,elaborate
2288,selection
2289,small
2290,tapa
2291,main
2292,dish
2293,really
2294,allowing
2295,satisfy
2296,taste
2297,efficient
2298,fast
2299,quite
2300,quality
2301,food
2302,size
2303,portion
2304,presentation
2305,proof
2306,professionalism
2307,midrange
2308,ok
2309,go
2310,back
2311,respect
2312,anthony
2313,bourdain
2314,wanted
2315,experience
2316,saw
2317,tasted
2318,family
2319,walked
2320,twice
2321,towards
2322,restaurant
2323,dinner
2324,time
2325,came
2326,satisfied
2327,happy
2328,food
2329,good
2330,brought
2331,table
2332,friendly
2333,staff
2334,love
2335,service
2336,price
2337,reasonable
2338,dont
2339,think
2340,twice
2341,come
2342,order
2343,grilled
2344,red
2345,prawn
2346,steak
2347,foie
2348,gras
2349,among
2350,many
2351,good
2352,happy
2353,promise
2354,exciting
2355,fresh
2356,delicious
2357,cant
2358,describe
2359,ate
2360,early
2361,spanish
2362,way
2363,easier
2364,get
2365,table
2366,rushed
2367,went
2368,back
2369,three
2370,time
2371,husband
2372,went
2373,eat
2374,dinner
2375,arriving
2376,barcelona
2377,earlier
2378,afternoon
2379,recommendation
2380,local
2381,everything
2382,amazing
2383,food
2384,service
2385,atmosphere
2386,classic
2387,spanish
2388,tapa
2389,like
2390,patatas
2391,bravas
2392,pan
2393,con
2394,tomates
2395,jamon
2396,iberico
2397,spanish
2398,cheese
2399,wonderful
2400,well
2401,typical
2402,catalan
2403,dish
2404,like
2405,artichoke
2406,shrimp
2407,clam
2408,fresh
2409,fried
2410,calamari
2411,crema
2412,catalana
2413,homemade
2414,sangria
2415,perfect
2416,selection
2417,wine
2418,glass
2419,great
2420,definitely
2421,back
2422,next
2423,trip
2424,best
2425,meal
2426,week
2427,barcelona
2428,recommended
2429,place
2430,local
2431,air
2432,bnb
2433,host
2434,disappoint
2435,great
2436,energy
2437,vibe
2438,food
2439,delicious
2440,try
2441,skinny
2442,fry
2443,covered
2444,aioli
2445,egg
2446,top
2447,sound
2448,simple
2449,tasty
2450,great
2451,service
2452,really
2453,good
2454,value
2455,delicious
2456,option
2457,breakfast
2458,always
2459,busy
2460,evening
2461,get
2462,near
2463,door
2464,full
2465,local
2466,always
2467,best
2468,recommendation
2469,place
2470,popular
2471,arrived
2472,told
2473,minute
2474,wait
2475,table
2476,drink
2477,bar
2478,called
2479,table
2480,minute
2481,well
2482,worth
2483,wait
2484,great
2485,food
2486,great
