,0
2232,central
2233,bcn
2234,popular
2235,hangout
2236,locals
2237,tourists
2238,serving
2239,nice
2240,good
2241,quality
2242,atmosphere
2243,modern
2244,upmarket
2245,designed
2246,nice
2247,combination
2248,colours
2249,place
2250,quite
2251,big
2252,get
2253,noisy
2254,busy
2255,although
2256,twice
2257,without
2258,reservations
2259,recommended
2260,make
2261,reservations
2262,lucky
2263,like
2264,elaborate
2265,selection
2266,small
2267,tapas
2268,main
2269,dishes
2270,really
2271,allowing
2272,satisfy
2273,taste
2274,efficient
2275,fast
2276,quite
2277,quality
2278,food
2279,size
2280,portions
2281,presentation
2282,proof
2283,professionalism
2284,midrange
2285,ok
2286,go
2287,back
2288,respect
2289,anthony
2290,bourdain
2291,wanted
2292,experience
2293,saw
2294,tasted
2295,family
2296,walked
2297,twice
2298,towards
2299,restaurant
2300,dinner
2301,times
2302,came
2303,satisfied
2304,happy
2305,food
2306,good
2307,brought
2308,table
2309,friendly
2310,staff
2311,love
2312,service
2313,price
2314,reasonable
2315,think
2316,twice
2317,come
2318,order
2319,grilled
2320,red
2321,prawns
2322,steak
2323,foie
2324,gras
2325,among
2326,many
2327,good
2328,happy
2329,promise
2330,exciting
2331,fresh
2332,delicious
2333,ca
2334,describe
2335,ate
2336,early
2337,spanish
2338,way
2339,easier
2340,get
2341,table
2342,rushed
2343,went
2344,back
2345,three
2346,times
2347,husband
2348,went
2349,eat
2350,dinner
2351,arriving
2352,barcelona
2353,earlier
2354,afternoon
2355,recommendation
2356,local
2357,everything
2358,amazing
2359,food
2360,service
2361,atmosphere
2362,classic
2363,spanish
2364,tapas
2365,like
2366,patatas
2367,bravas
2368,pan
2369,con
2370,tomates
2371,jamon
2372,iberico
2373,spanish
2374,cheeses
2375,wonderful
2376,well
2377,typical
2378,catalan
2379,dishes
2380,like
2381,artichokes
2382,shrimp
2383,clams
2384,fresh
2385,fried
2386,calamari
2387,crema
2388,catalana
2389,homemade
2390,sangria
2391,perfect
2392,selection
2393,wines
2394,glass
2395,great
2396,definitely
2397,back
2398,next
2399,trip
2400,best
2401,meal
2402,week
2403,barcelona
2404,recommended
2405,place
2406,local
2407,air
2408,bnb
2409,host
2410,disappoint
2411,great
2412,energy
2413,vibe
2414,food
2415,delicious
2416,try
2417,skinny
2418,fries
2419,covered
2420,aioli
2421,egg
2422,top
2423,sounds
2424,simple
2425,tasty
2426,great
2427,service
2428,really
2429,good
2430,value
2431,delicious
2432,options
2433,breakfast
2434,always
2435,busy
2436,evening
2437,get
2438,near
2439,door
2440,full
2441,locals
2442,always
2443,best
2444,recommendation
2445,place
2446,popular
2447,arrived
2448,told
2449,minute
2450,wait
2451,table
2452,drink
2453,bar
2454,called
2455,table
2456,minutes
2457,well
2458,worth
2459,wait
2460,great
2461,food
2462,great
2463,service
2464,reasonably
2465,priced
2466,busy
2467,great
2468,would
2469,go
2470,back
2471,tomorrow
2472,could
2473,ate
2474,meals
2475,restaurant
